size_bytes,total_bytes,repeat,elapsed_ns,mb_per_sec
4,8000000,0,519542465.8,14.685
4,8000000,1,597977405.1,12.759
4,8000000,2,578947492.8,13.178
16,32000000,0,472228077.8,64.625
16,32000000,1,487809701.3,62.560
16,32000000,2,465825948.3,65.513
64,67108864,0,362869118.5,176.372
64,67108864,1,351195824.1,182.235
64,67108864,2,355062115.7,180.250
256,67108864,0,98748339.4,648.112
256,67108864,1,98788621.1,647.848
256,67108864,2,97830366.5,654.194
1024,67108864,0,34281438.4,1866.899
1024,67108864,1,34450997.4,1857.711
1024,67108864,2,35159605.6,1820.271
4096,67108864,0,15136611.6,4228.159
4096,67108864,1,15079442.9,4244.189
4096,67108864,2,15130330.2,4229.914
16384,67108864,0,15492703.1,4130.977
16384,67108864,1,13578548.4,4713.317
16384,67108864,2,13569773.7,4716.365
65536,67108864,0,20330047.2,3148.050
65536,67108864,1,19561191.4,3271.784
65536,67108864,2,19761498.7,3238.621
262144,67108864,0,20466904.9,3126.999
262144,67108864,1,20758597.3,3083.060
262144,67108864,2,20690263.6,3093.242
524288,67108864,0,20701414.1,3091.576
524288,67108864,1,20535591.8,3116.540
524288,67108864,2,20565149.3,3112.061
