size_bytes,t_waking_s,pid,waker_cpu,target_cpu,waking_to_ipi,ipi_to_idle_exit,idle_exit_to_wakeup,wakeup_to_switch,switch_to_user,waking_to_running_ns,waking_to_user_ns
4,594626.833103567,1204566,1,0,760,2813,2821,1275,1516,7669,9185
4,594626.833115127,1204568,0,1,901,3018,3027,1240,989,8186,9175
4,594626.833125855,1204566,1,0,618,2854,2865,1043,688,7380,8068
4,594626.833134822,1204568,0,1,194,761,667,416,465,2038,2503
4,594626.833137972,1204566,1,0,178,871,1192,1282,1691,3523,5214
4,594626.833148009,1204568,0,1,673,1149,1033,972,958,3827,4785
4,594626.833156311,1204566,1,0,1485,1608,775,469,534,4337,4871
4,594626.833161865,1204568,0,1,245,1228,824,440,501,2737,3238
4,594626.833165737,1204566,1,0,212,729,640,420,501,2001,2502
4,594626.833168921,1204568,0,1,177,946,634,379,383,2136,2519
4,594626.833172063,1204566,1,0,177,734,712,401,450,2024,2474
4,594626.833175278,1204568,0,1,193,770,644,385,482,1992,2474
4,594626.833178477,1204566,1,0,200,778,714,467,533,2159,2692
4,594626.833181887,1204568,0,1,203,777,697,403,461,2080,2541
4,594626.833185087,1204566,1,0,189,772,742,415,471,2118,2589
4,594626.833188407,1204568,0,1,207,781,691,400,453,2079,2532
4,594626.833191702,1204566,1,0,274,760,719,407,473,2160,2633
4,594626.833195214,1204568,0,1,203,776,689,412,451,2080,2531
4,594626.833198404,1204566,1,0,233,770,723,416,466,2142,2608
4,594626.833201756,1204568,0,1,195,775,697,443,467,2110,2577
4,594626.833204980,1204566,1,0,295,785,708,443,444,2231,2675
4,594626.833208355,1204568,0,1,197,783,726,436,427,2142,2569
4,594626.833211582,1204566,1,0,222,786,701,432,475,2141,2616
4,594626.833214895,1204568,0,1,,,552,343,514,1221,1735
4,594626.833217304,1204566,1,0,201,795,690,432,482,2118,2600
4,594626.833220668,1204568,0,1,217,779,754,500,455,2250,2705
4,594626.833224050,1204566,1,0,,,520,276,456,1128,1584
