size_bytes,t_waking_s,pid,waker_cpu,target_cpu,waking_to_ipi,ipi_to_idle_exit,idle_exit_to_wakeup,wakeup_to_switch,switch_to_user,waking_to_running_ns,waking_to_user_ns
4,597578.796098183,1231928,1,0,653,2649,2675,1152,,7129,
4,597579.321307167,1231932,0,1,4682,,,2707,,8136,
4,597579.743507105,1231932,0,1,499,,,1660,,2405,
4,597579.868331580,1231928,1,0,,,,459,,4191,
4,597579.884328336,1231928,1,0,,,,266,,1090,
4,597580.003333056,1231932,0,1,293,,,1066,,3615,
4,597580.252343357,1231928,1,0,264,6140,3513,1602,,11519,
4,597580.443344714,1231932,0,1,882,13091,2682,2410,,19065,
4,597580.502114471,1231932,0,1,1151,3591,770,727,,6239,
4,597580.507342629,1231932,0,1,469,5478,1985,1156,,9088,
4,597580.533724099,1231932,0,1,274,,,593,,2898,
4,597580.556077453,1231932,0,1,545,,,352,,1954,
4,597580.571340236,1231932,0,1,239,2016,1014,818,,4087,
4,597580.699346184,1231932,0,1,244,1198,4840,2326,,8608,
4,597580.700345006,1231928,1,0,260,9338,2508,1534,,13640,
4,597580.700360654,1231932,0,1,,,,297,,1102,
4,597580.700362785,1231932,0,1,315,1378,637,617,,2947,
4,597580.763340132,1231928,1,0,1256,,,1443,,2933,
4,597581.021439567,1231928,1,0,1092,,,1453,,2743,
4,597581.021570088,1231928,1,0,725,,,2416,,51883,
16,597582.176784220,1231947,1,0,1137,2457,2684,1378,,7656,
16,597582.289057957,1231949,0,1,6042,,,1854,,8572,
16,597582.289927628,1231949,0,1,1932,,,1305,,3420,
16,597582.290813255,1231949,0,1,1065,,,1167,,2391,
16,597582.292421550,1231949,0,1,212,,,3193,,52224,
16,597582.301726314,1231949,0,1,697,,,627,,4351,
16,597582.303689411,1231949,0,1,332,,,501,,2105,
16,597582.326407963,1231949,0,1,229,,,3718,,56960,
16,597582.335594870,1231949,0,1,2385,,,600,,5257,
16,597582.337355366,1231949,0,1,220,,,538,,1961,
16,597582.346356092,1231949,0,1,186,,,649,,3358,
16,597582.354806559,1231949,0,1,1360,,,787,,3786,
16,597582.355100466,1231949,0,1,232,,,397,,2548,
16,597582.355354635,1231949,0,1,200,5473,794,1230,,7697,
16,597582.356732407,1231949,0,1,194,,,363,,1729,
16,597582.419555585,1231949,0,1,2036,,,386,,3894,
16,597582.419694138,1231949,0,1,225,,,362,,1537,
16,597582.427367975,1231949,0,1,252,5434,2071,1108,,8865,
16,597582.439356001,1231949,0,1,173,,,613,,2737,
16,597582.461396509,1231949,0,1,,,,339,,2195,
16,597582.462071074,1231949,0,1,324,5157,818,752,,7051,
16,597582.463094912,1231949,0,1,196,3231,755,521,,4703,
16,597582.463355095,1231949,0,1,165,1267,588,632,,2652,
16,597582.463487490,1231949,0,1,209,,,495,,1793,
16,597582.463588650,1231949,0,1,168,,,343,,2152,
16,597582.463707741,1231949,0,1,172,,,942,,2080,
16,597582.463841620,1231949,0,1,188,,,326,,1589,
16,597582.552873881,1231949,0,1,321,,,494,,2891,
16,597582.553329857,1231949,0,1,226,,,356,,1819,
16,597582.553477903,1231949,0,1,216,,,363,,1529,
16,597582.553686389,1231949,0,1,175,,,362,,1474,
16,597582.598234721,1231949,0,1,1545,846,634,571,,3596,
16,597582.644356189,1231949,0,1,1210,1132,631,433,,3406,
16,597582.644733472,1231949,0,1,214,,,715,,2719,
16,597582.651359600,1231949,0,1,305,,,519,,2199,
16,597582.695370384,1231949,0,1,1031,,,524,,2736,
16,597582.696642608,1231949,0,1,655,,,531,,2650,
16,597582.696915542,1231949,0,1,357,,,540,,2132,
16,597582.697071980,1231949,0,1,266,,,494,,1786,
16,597582.703360967,1231949,0,1,828,,,517,,2681,
16,597582.705358781,1231949,0,1,836,,,496,,2900,
16,597582.723005328,1231949,0,1,1159,,,653,,2835,
16,597582.735894031,1231949,0,1,,,,235,,1626,
16,597582.736786346,1231949,0,1,266,,,946,,2307,
16,597582.737360714,1231949,0,1,,,387,218,,930,
16,597582.780960239,1231949,0,1,4285,,,1823,,6543,
16,597582.796884745,1231949,0,1,1979,,,807,,2972,
16,597582.797360260,1231949,0,1,849,,,911,,1934,
16,597582.798123749,1231949,0,1,992,,,1023,,2218,
16,597582.798458402,1231949,0,1,1033,,,1027,,2246,
16,597582.820939152,1231949,0,1,2264,,,1408,,3852,
16,597582.821308855,1231949,0,1,2274,,,874,,3336,
16,597582.821975901,1231949,0,1,2148,,,1359,,3687,
16,597582.822372896,1231949,0,1,1307,,,796,,2279,
16,597582.822829090,1231949,0,1,2415,,,1163,,3755,
16,597582.823389192,1231949,0,1,1277,,,762,,2208,
16,597582.823422051,1231949,0,1,1045,,,789,,2020,
16,597582.823733701,1231949,0,1,879,,,1126,,2188,
16,597582.824887410,1231949,0,1,991,,,1262,,2474,
16,597582.921717993,1231949,0,1,2110,,,1220,,3529,
16,597582.921761845,1231949,0,1,1093,,,1189,,2506,
16,597582.924325862,1231949,0,1,,,,334,,2014,
16,597582.924879073,1231949,0,1,268,,,437,,1561,
16,597582.929430511,1231949,0,1,,,,285,,1851,
16,597582.969356315,1231949,0,1,,,,380,,1657,
16,597582.976732845,1231949,0,1,198,1110,613,423,,2344,
16,597582.978361325,1231949,0,1,297,1059,1015,387,,2758,
16,597582.979363100,1231949,0,1,219,,,567,,1663,
16,597582.981370105,1231949,0,1,901,,,522,,2307,
16,597582.984361582,1231949,0,1,233,,,509,,1794,
16,597582.996258752,1231949,0,1,1206,,,530,,2585,
16,597582.996582524,1231949,0,1,284,,,502,,1808,
16,597582.997370101,1231949,0,1,232,,,697,,1781,
16,597583.004497569,1231949,0,1,,,,256,,1536,
16,597583.020217053,1231949,0,1,836,,,524,,2222,
16,597583.044261130,1231949,0,1,432,,,411,,1740,
16,597583.044360474,1231949,0,1,233,,,535,,1694,
16,597583.126255649,1231949,0,1,,,1047,661,,2265,
16,597583.137813404,1231949,0,1,1201,,,398,,2508,
16,597583.195372621,1231949,0,1,232,797,746,521,,2296,
16,597583.199191559,1231949,0,1,1263,,,382,,2762,
16,597583.200364370,1231949,0,1,613,,,514,,2845,
16,597583.209294619,1231949,0,1,683,,,344,,2394,
16,597583.220363404,1231949,0,1,220,,,336,,1816,
16,597583.220730386,1231949,0,1,212,,,557,,1940,
16,597583.237875312,1231949,0,1,924,,,536,,2609,
16,597583.238168313,1231949,0,1,759,,,339,,2327,
16,597583.238772758,1231949,0,1,955,,,457,,3118,
16,597583.239055446,1231949,0,1,319,,,468,,1826,
16,597583.239984876,1231949,0,1,687,,,336,,2382,
16,597583.240071980,1231949,0,1,639,1123,650,582,,2994,
16,597583.240161742,1231949,0,1,238,,,330,,1375,
16,597583.240365154,1231949,0,1,193,,,327,,1385,
16,597583.240777441,1231949,0,1,1473,,,328,,2736,
16,597583.241243795,1231949,0,1,214,,,320,,1567,
16,597583.241364889,1231949,0,1,273,,,467,,1915,
16,597583.241549334,1231949,0,1,252,,,320,,1578,
16,597583.242770837,1231949,0,1,334,,,346,,2138,
16,597583.244363588,1231949,0,1,166,,,486,,2058,
16,597583.253365241,1231949,0,1,835,,,338,,2171,
16,597583.259375806,1231949,0,1,233,782,871,543,,2429,
16,597583.262023232,1231949,0,1,970,,,357,,2759,
16,597583.304360856,1231949,0,1,441,,,1686,,3548,
16,597583.309545456,1231949,0,1,287,,,357,,1880,
16,597583.309727195,1231949,0,1,215,,,339,,1728,
16,597583.323378199,1231949,0,1,234,786,834,531,,2385,
16,597583.339156423,1231949,0,1,708,,,508,,2689,
16,597583.343705093,1231949,0,1,810,,,460,,2309,
16,597583.371133589,1231949,0,1,268,,,445,,1928,
16,597583.371503458,1231949,0,1,1094,,,477,,2652,
16,597583.372366630,1231949,0,1,185,,,324,,1310,
16,597583.373217693,1231949,0,1,196,,,330,,1350,
16,597583.401377607,1231949,0,1,463,787,1166,747,,3163,
16,597583.404365990,1231949,0,1,200,2138,865,530,,3733,
16,597583.405769645,1231949,0,1,987,,,512,,2855,
16,597583.407165853,1231949,0,1,1161,,,481,,3016,
16,597583.438430205,1231949,0,1,691,,,476,,2120,
16,597583.439384149,1231949,0,1,181,,,501,,1740,
16,597583.448822811,1231949,0,1,255,,,462,,2013,
16,597583.449366422,1231949,0,1,260,1115,641,339,,2355,
16,597583.515383828,1231949,0,1,224,780,743,533,,2280,
16,597583.553199571,1231949,0,1,1010,1024,610,375,,3019,
16,597583.561300668,1231949,0,1,209,,,354,,1446,
16,597583.562170550,1231949,0,1,,,,251,,2132,
16,597583.563091771,1231949,0,1,259,1112,543,364,,2278,
16,597583.617481652,1231949,0,1,,,,239,,1811,
16,597583.636894501,1231949,0,1,,,,249,,1554,
16,597583.643113983,1231949,0,1,,,,218,,1436,
16,597583.646858158,1231949,0,1,1391,1112,648,625,,3776,
16,597583.650050123,1231949,0,1,303,1271,581,483,,2638,
16,597583.650222447,1231949,0,1,362,1011,934,525,,2832,
16,597583.661117251,1231949,0,1,,,,214,,1445,
16,597583.661205235,1231949,0,1,248,4428,1305,634,,6615,
16,597583.662369617,1231949,0,1,175,2983,753,524,,4435,
16,597583.664370052,1231949,0,1,276,,,365,,1461,
16,597583.701197834,1231949,0,1,,,,222,,2124,
16,597583.705508107,1231949,0,1,849,2633,1123,737,,5342,
16,597583.706618416,1231949,0,1,228,2540,723,643,,4134,
16,597583.708378714,1231947,1,0,681,,,1488,,2413,
16,597583.708749660,1231949,0,1,,,,259,,1672,
16,597583.710144709,1231949,0,1,,,,219,,1915,
16,597583.718279069,1231949,0,1,,,,254,,1641,
16,597583.721368846,1231949,0,1,328,,,542,,1765,
16,597583.756821446,1231949,0,1,,,,226,,1757,
16,597583.757087277,1231949,0,1,287,,,622,,2072,
16,597583.757410912,1231949,0,1,198,,,784,,2123,
16,597583.759235000,1231949,0,1,275,,,668,,1991,
16,597583.759470904,1231949,0,1,184,,,680,,1854,
16,597583.760372067,1231949,0,1,,,433,236,,965,
16,597583.819370463,1231949,0,1,,,,230,,1781,
16,597583.825916139,1231949,0,1,1040,,,499,,2938,
